Title,URL,Tag String,Number of Works
Inception (2010),https://archiveofourown.org/tags/Inception%20(2010)/works,Inception%20(2010),8788
Star Trek: The Original Series,https://archiveofourown.org/tags/Star%20Trek:%20The%20Original%20Series/works,Star%20Trek:%20The%20Original%20Series,8614
James Bond (Craig movies),https://archiveofourown.org/tags/James%20Bond%20(Craig%20movies)/works,James%20Bond%20(Craig%20movies),8393
Star Wars Prequel Trilogy,https://archiveofourown.org/tags/Star%20Wars%20Prequel%20Trilogy/works,Star%20Wars%20Prequel%20Trilogy,8099
Kingsman (Movies),https://archiveofourown.org/tags/Kingsman%20(Movies)/works,Kingsman%20(Movies),7820
Pacific Rim (Movies),https://archiveofourown.org/tags/Pacific%20Rim%20(Movies)/works,Pacific%20Rim%20(Movies),7787
Guardians of Childhood & Related Fandoms,https://archiveofourown.org/tags/Guardians%20of%20Childhood%20*a*%20Related%20Fandoms/works,Guardians%20of%20Childhood%20*a*%20Related%20Fandoms,7010
Rise of the Guardians (2012),https://archiveofourown.org/tags/Rise%20of%20the%20Guardians%20(2012)/works,Rise%20of%20the%20Guardians%20(2012),6986
Fantastic Beasts and Where to Find Them (Movies),https://archiveofourown.org/tags/Fantastic%20Beasts%20and%20Where%20to%20Find%20Them%20(Movies)/works,Fantastic%20Beasts%20and%20Where%20to%20Find%20Them%20(Movies),6416
Assassin's Creed - All Media Types,https://archiveofourown.org/tags/Assassin's%20Creed%20-%20All%20Media%20Types/works,Assassin's%20Creed%20-%20All%20Media%20Types,6249
Twilight Series - All Media Types,https://archiveofourown.org/tags/Twilight%20Series%20-%20All%20Media%20Types/works,Twilight%20Series%20-%20All%20Media%20Types,6181
Rogue One: A Star Wars Story (2016),https://archiveofourown.org/tags/Rogue%20One:%20A%20Star%20Wars%20Story%20(2016)/works,Rogue%20One:%20A%20Star%20Wars%20Story%20(2016),6043
Star Wars Original Trilogy,https://archiveofourown.org/tags/Star%20Wars%20Original%20Trilogy/works,Star%20Wars%20Original%20Trilogy,5485
d'Artagnan Romances (Three Musketeers Series) - All Media Types,https://archiveofourown.org/tags/d'Artagnan%20Romances%20(Three%20Musketeers%20Series)%20-%20All%20Media%20Types/works,d'Artagnan%20Romances%20(Three%20Musketeers%20Series)%20-%20All%20Media%20Types,5169
Highlander - All Media Types,https://archiveofourown.org/tags/Highlander%20-%20All%20Media%20Types/works,Highlander%20-%20All%20Media%20Types,5142
X-Men (Original Timeline Movies),https://archiveofourown.org/tags/X-Men%20(Original%20Timeline%20Movies)/works,X-Men%20(Original%20Timeline%20Movies),4976
Star Wars: The Clone Wars (2008) - All Media Types,https://archiveofourown.org/tags/Star%20Wars:%20The%20Clone%20Wars%20(2008)%20-%20All%20Media%20Types/works,Star%20Wars:%20The%20Clone%20Wars%20(2008)%20-%20All%20Media%20Types,4974
Archie Comics & Related Fandoms,https://archiveofourown.org/tags/Archie%20Comics%20*a*%20Related%20Fandoms/works,Archie%20Comics%20*a*%20Related%20Fandoms,4910
Teenage Mutant Ninja Turtles - All Media Types,https://archiveofourown.org/tags/Teenage%20Mutant%20Ninja%20Turtles%20-%20All%20Media%20Types/works,Teenage%20Mutant%20Ninja%20Turtles%20-%20All%20Media%20Types,4801
South Park,https://archiveofourown.org/tags/South%20Park/works,South%20Park,4685
Les Misérables (2012),https://archiveofourown.org/tags/Les%20Mis%C3%A9rables%20(2012)/works,Les%20Mis%C3%A9rables%20(2012),4647
Death Note & Related Fandoms,https://archiveofourown.org/tags/Death%20Note%20*a*%20Related%20Fandoms/works,Death%20Note%20*a*%20Related%20Fandoms,4585
The Lord of the Rings (Movies),https://archiveofourown.org/tags/The%20Lord%20of%20the%20Rings%20(Movies)/works,The%20Lord%20of%20the%20Rings%20(Movies),4497
DC Extended Universe,https://archiveofourown.org/tags/DC%20Extended%20Universe/works,DC%20Extended%20Universe,4321
