Title,URL,Tag String,Number of Works
Scott Pilgrim - All Media Types,https://archiveofourown.org/tags/Scott%20Pilgrim%20-%20All%20Media%20Types/works,Scott%20Pilgrim%20-%20All%20Media%20Types,142
Zombieland (2009),https://archiveofourown.org/tags/Zombieland%20(2009)/works,Zombieland%20(2009),141
2 Fast 2 Furious (2003),https://archiveofourown.org/tags/2%20Fast%202%20Furious%20(2003)/works,2%20Fast%202%20Furious%20(2003),139
Basic Instinct (Movies),https://archiveofourown.org/tags/Basic%20Instinct%20(Movies)/works,Basic%20Instinct%20(Movies),138
Godzilla - All Media Types,https://archiveofourown.org/tags/Godzilla%20-%20All%20Media%20Types/works,Godzilla%20-%20All%20Media%20Types,138
Mary Poppins - All Media Types,https://archiveofourown.org/tags/Mary%20Poppins%20-%20All%20Media%20Types/works,Mary%20Poppins%20-%20All%20Media%20Types,138
Peter Pan (2003),https://archiveofourown.org/tags/Peter%20Pan%20(2003)/works,Peter%20Pan%20(2003),138
Cloud Atlas - All Media Types,https://archiveofourown.org/tags/Cloud%20Atlas%20-%20All%20Media%20Types/works,Cloud%20Atlas%20-%20All%20Media%20Types,136
Epic (2013),https://archiveofourown.org/tags/Epic%20(2013)/works,Epic%20(2013),136
The Great Mouse Detective (1986),https://archiveofourown.org/tags/The%20Great%20Mouse%20Detective%20(1986)/works,The%20Great%20Mouse%20Detective%20(1986),136
3:10 to Yuma (2007),https://archiveofourown.org/tags/3:10%20to%20Yuma%20(2007)/works,3:10%20to%20Yuma%20(2007),134
Predator Series,https://archiveofourown.org/tags/Predator%20Series/works,Predator%20Series,134
S.W.A.T. - All Media Types,https://archiveofourown.org/tags/S*d*W*d*A*d*T*d*%20-%20All%20Media%20Types/works,S*d*W*d*A*d*T*d*%20-%20All%20Media%20Types,134
John Wick (Movies),https://archiveofourown.org/tags/John%20Wick%20(Movies)/works,John%20Wick%20(Movies),133
Pocahontas (1995),https://archiveofourown.org/tags/Pocahontas%20(1995)/works,Pocahontas%20(1995),133
Pride and Prejudice (2005),https://archiveofourown.org/tags/Pride%20and%20Prejudice%20(2005)/works,Pride%20and%20Prejudice%20(2005),133
War Horse (2011),https://archiveofourown.org/tags/War%20Horse%20(2011)/works,War%20Horse%20(2011),133
Kiss Kiss Bang Bang (2005),https://archiveofourown.org/tags/Kiss%20Kiss%20Bang%20Bang%20(2005)/works,Kiss%20Kiss%20Bang%20Bang%20(2005),132
The Scarlet Pimpernel - All Media Types,https://archiveofourown.org/tags/The%20Scarlet%20Pimpernel%20-%20All%20Media%20Types/works,The%20Scarlet%20Pimpernel%20-%20All%20Media%20Types,132
The Outsiders (1983),https://archiveofourown.org/tags/The%20Outsiders%20(1983)/works,The%20Outsiders%20(1983),131
Peter Pan (1953),https://archiveofourown.org/tags/Peter%20Pan%20(1953)/works,Peter%20Pan%20(1953),131
The Secret Garden - All Media Types,https://archiveofourown.org/tags/The%20Secret%20Garden%20-%20All%20Media%20Types/works,The%20Secret%20Garden%20-%20All%20Media%20Types,131
Jurassic Park III (2001),https://archiveofourown.org/tags/Jurassic%20Park%20III%20(2001)/works,Jurassic%20Park%20III%20(2001),130
Ten Inch Hero,https://archiveofourown.org/tags/Ten%20Inch%20Hero/works,Ten%20Inch%20Hero,130
Halloween Movies - All Media Types,https://archiveofourown.org/tags/Halloween%20Movies%20-%20All%20Media%20Types/works,Halloween%20Movies%20-%20All%20Media%20Types,129
The LEGO Batman Movie (2017),https://archiveofourown.org/tags/The%20LEGO%20Batman%20Movie%20(2017)/works,The%20LEGO%20Batman%20Movie%20(2017),129
Fight Club (1999),https://archiveofourown.org/tags/Fight%20Club%20(1999)/works,Fight%20Club%20(1999),128
Mansfield Park - All Media Types,https://archiveofourown.org/tags/Mansfield%20Park%20-%20All%20Media%20Types/works,Mansfield%20Park%20-%20All%20Media%20Types,128
Star Wars Legends: Legacy Era - All Media Types,https://archiveofourown.org/tags/Star%20Wars%20Legends:%20Legacy%20Era%20-%20All%20Media%20Types/works,Star%20Wars%20Legends:%20Legacy%20Era%20-%20All%20Media%20Types,128
Alien vs Predator (2004),https://archiveofourown.org/tags/Alien%20vs%20Predator%20(2004)/works,Alien%20vs%20Predator%20(2004),127
Priest (2011),https://archiveofourown.org/tags/Priest%20(2011)/works,Priest%20(2011),126
Four Brothers (2005),https://archiveofourown.org/tags/Four%20Brothers%20(2005)/works,Four%20Brothers%20(2005),125
Jurassic Park (1993),https://archiveofourown.org/tags/Jurassic%20Park%20(1993)/works,Jurassic%20Park%20(1993),124
The Mummy Returns (2001),https://archiveofourown.org/tags/The%20Mummy%20Returns%20(2001)/works,The%20Mummy%20Returns%20(2001),124
National Treasure (Movies),https://archiveofourown.org/tags/National%20Treasure%20(Movies)/works,National%20Treasure%20(Movies),123
Monsters University (2013),https://archiveofourown.org/tags/Monsters%20University%20(2013)/works,Monsters%20University%20(2013),122
Shame (2011),https://archiveofourown.org/tags/Shame%20(2011)/works,Shame%20(2011),122
Stardust - All Media Types,https://archiveofourown.org/tags/Stardust%20-%20All%20Media%20Types/works,Stardust%20-%20All%20Media%20Types,122
Wanted (2008),https://archiveofourown.org/tags/Wanted%20(2008)/works,Wanted%20(2008),122
Despicable Me (Movies),https://archiveofourown.org/tags/Despicable%20Me%20(Movies)/works,Despicable%20Me%20(Movies),119
S.W.A.T. (2003),https://archiveofourown.org/tags/S*d*W*d*A*d*T*d*%20(2003)/works,S*d*W*d*A*d*T*d*%20(2003),119
Fast & Furious 6 (2013),https://archiveofourown.org/tags/Fast%20*a*%20Furious%206%20(2013)/works,Fast%20*a*%20Furious%206%20(2013),118
The Music Man - All Media Types,https://archiveofourown.org/tags/The%20Music%20Man%20-%20All%20Media%20Types/works,The%20Music%20Man%20-%20All%20Media%20Types,117
The Picture of Dorian Gray - Oscar Wilde,https://archiveofourown.org/tags/The%20Picture%20of%20Dorian%20Gray%20-%20Oscar%20Wilde/works,The%20Picture%20of%20Dorian%20Gray%20-%20Oscar%20Wilde,117
Battle Royale - All Media Types,https://archiveofourown.org/tags/Battle%20Royale%20-%20All%20Media%20Types/works,Battle%20Royale%20-%20All%20Media%20Types,116
El Mariachi Trilogy (Movies),https://archiveofourown.org/tags/El%20Mariachi%20Trilogy%20(Movies)/works,El%20Mariachi%20Trilogy%20(Movies),115
Percy Jackson & The Olympians (Movies),https://archiveofourown.org/tags/Percy%20Jackson%20*a*%20The%20Olympians%20(Movies)/works,Percy%20Jackson%20*a*%20The%20Olympians%20(Movies),115
Ender's Game - All Media Types,https://archiveofourown.org/tags/Ender's%20Game%20-%20All%20Media%20Types/works,Ender's%20Game%20-%20All%20Media%20Types,114
Masters of the Universe & Related Fandoms,https://archiveofourown.org/tags/Masters%20of%20the%20Universe%20*a*%20Related%20Fandoms/works,Masters%20of%20the%20Universe%20*a*%20Related%20Fandoms,113
Mighty Ducks (Movies),https://archiveofourown.org/tags/Mighty%20Ducks%20(Movies)/works,Mighty%20Ducks%20(Movies),113
Split (2016),https://archiveofourown.org/tags/Split%20(2016)/works,Split%20(2016),112
Bionicle - All Media Types,https://archiveofourown.org/tags/Bionicle%20-%20All%20Media%20Types/works,Bionicle%20-%20All%20Media%20Types,111
A Knight's Tale (2001),https://archiveofourown.org/tags/A%20Knight's%20Tale%20(2001)/works,A%20Knight's%20Tale%20(2001),111
Troy (2004),https://archiveofourown.org/tags/Troy%20(2004)/works,Troy%20(2004),111
The Borrowers - All Media Types,https://archiveofourown.org/tags/The%20Borrowers%20-%20All%20Media%20Types/works,The%20Borrowers%20-%20All%20Media%20Types,110
Grease - All Media Types,https://archiveofourown.org/tags/Grease%20-%20All%20Media%20Types/works,Grease%20-%20All%20Media%20Types,110
Mænd & høns | Men & Chicken (2015),https://archiveofourown.org/tags/M%C3%A6nd%20*a*%20h%C3%B8ns%20%7C%20Men%20*a*%20Chicken%20(2015)/works,M%C3%A6nd%20*a*%20h%C3%B8ns%20%7C%20Men%20*a*%20Chicken%20(2015),109
The Last Unicorn - All Media Types,https://archiveofourown.org/tags/The%20Last%20Unicorn%20-%20All%20Media%20Types/works,The%20Last%20Unicorn%20-%20All%20Media%20Types,108
Onmyouji | The Yin-Yang Master (Movies),https://archiveofourown.org/tags/Onmyouji%20%7C%20The%20Yin-Yang%20Master%20(Movies)/works,Onmyouji%20%7C%20The%20Yin-Yang%20Master%20(Movies),108
Thunderheart (1992),https://archiveofourown.org/tags/Thunderheart%20(1992)/works,Thunderheart%20(1992),108
Fantastic Four (2015),https://archiveofourown.org/tags/Fantastic%20Four%20(2015)/works,Fantastic%20Four%20(2015),107
Mary Poppins (1964),https://archiveofourown.org/tags/Mary%20Poppins%20(1964)/works,Mary%20Poppins%20(1964),107
Eastern Promises (2007),https://archiveofourown.org/tags/Eastern%20Promises%20(2007)/works,Eastern%20Promises%20(2007),106
Kick-Ass (Movies),https://archiveofourown.org/tags/Kick-Ass%20(Movies)/works,Kick-Ass%20(Movies),106
Universal Monsters Universe,https://archiveofourown.org/tags/Universal%20Monsters%20Universe/works,Universal%20Monsters%20Universe,106
Ella Enchanted - All Media Types,https://archiveofourown.org/tags/Ella%20Enchanted%20-%20All%20Media%20Types/works,Ella%20Enchanted%20-%20All%20Media%20Types,105
Equilibrium (2002),https://archiveofourown.org/tags/Equilibrium%20(2002)/works,Equilibrium%20(2002),105
WALL-E (2008),https://archiveofourown.org/tags/WALL-E%20(2008)/works,WALL-E%20(2008),105
Beetlejuice - All Media Types,https://archiveofourown.org/tags/Beetlejuice%20-%20All%20Media%20Types/works,Beetlejuice%20-%20All%20Media%20Types,104
Legally Blonde - All Media Types,https://archiveofourown.org/tags/Legally%20Blonde%20-%20All%20Media%20Types/works,Legally%20Blonde%20-%20All%20Media%20Types,104
Charlie and the Chocolate Factory (2005),https://archiveofourown.org/tags/Charlie%20and%20the%20Chocolate%20Factory%20(2005)/works,Charlie%20and%20the%20Chocolate%20Factory%20(2005),103
Disney Fairies,https://archiveofourown.org/tags/Disney%20Fairies/works,Disney%20Fairies,103
Pride (2014),https://archiveofourown.org/tags/Pride%20(2014)/works,Pride%20(2014),103
The World's End (2013),https://archiveofourown.org/tags/The%20World's%20End%20(2013)/works,The%20World's%20End%20(2013),103
Sense and Sensibility - All Media Types,https://archiveofourown.org/tags/Sense%20and%20Sensibility%20-%20All%20Media%20Types/works,Sense%20and%20Sensibility%20-%20All%20Media%20Types,102
Bright (2017),https://archiveofourown.org/tags/Bright%20(2017)/works,Bright%20(2017),101
Hellraiser & Related Fandoms,https://archiveofourown.org/tags/Hellraiser%20*a*%20Related%20Fandoms/works,Hellraiser%20*a*%20Related%20Fandoms,101
The Jungle Book - All Media Types,https://archiveofourown.org/tags/The%20Jungle%20Book%20-%20All%20Media%20Types/works,The%20Jungle%20Book%20-%20All%20Media%20Types,101
Sucker Punch (2011),https://archiveofourown.org/tags/Sucker%20Punch%20(2011)/works,Sucker%20Punch%20(2011),101
A Nightmare on Elm Street (Movies 1984-1994),https://archiveofourown.org/tags/A%20Nightmare%20on%20Elm%20Street%20(Movies%201984-1994)/works,A%20Nightmare%20on%20Elm%20Street%20(Movies%201984-1994),100
Alice in Wonderland (1951),https://archiveofourown.org/tags/Alice%20in%20Wonderland%20(1951)/works,Alice%20in%20Wonderland%20(1951),99
Batman (Movies 1989-1997),https://archiveofourown.org/tags/Batman%20(Movies%201989-1997)/works,Batman%20(Movies%201989-1997),99
Dark City (1998),https://archiveofourown.org/tags/Dark%20City%20(1998)/works,Dark%20City%20(1998),99
Kill Bill (Movies),https://archiveofourown.org/tags/Kill%20Bill%20(Movies)/works,Kill%20Bill%20(Movies),99
Warm Bodies - All Media Types,https://archiveofourown.org/tags/Warm%20Bodies%20-%20All%20Media%20Types/works,Warm%20Bodies%20-%20All%20Media%20Types,99
Baahubali (Movies),https://archiveofourown.org/tags/Baahubali%20(Movies)/works,Baahubali%20(Movies),98
Whiplash (2014),https://archiveofourown.org/tags/Whiplash%20(2014)/works,Whiplash%20(2014),98
Singin' in the Rain (1952),https://archiveofourown.org/tags/Singin'%20in%20the%20Rain%20(1952)/works,Singin'%20in%20the%20Rain%20(1952),97
Chronicle (2012),https://archiveofourown.org/tags/Chronicle%20(2012)/works,Chronicle%20(2012),95
The Nice Guys (2016),https://archiveofourown.org/tags/The%20Nice%20Guys%20(2016)/works,The%20Nice%20Guys%20(2016),95
The Shape of Water (2017),https://archiveofourown.org/tags/The%20Shape%20of%20Water%20(2017)/works,The%20Shape%20of%20Water%20(2017),95
Ferris Bueller's Day Off (1986),https://archiveofourown.org/tags/Ferris%20Bueller's%20Day%20Off%20(1986)/works,Ferris%20Bueller's%20Day%20Off%20(1986),94
Kick-Ass (2010),https://archiveofourown.org/tags/Kick-Ass%20(2010)/works,Kick-Ass%20(2010),94
9 (2009),https://archiveofourown.org/tags/9%20(2009)/works,9%20(2009),93
Maurice (1987),https://archiveofourown.org/tags/Maurice%20(1987)/works,Maurice%20(1987),93
Olympus Has Fallen (Movies),https://archiveofourown.org/tags/Olympus%20Has%20Fallen%20(Movies)/works,Olympus%20Has%20Fallen%20(Movies),93
Corpse Bride (2005),https://archiveofourown.org/tags/Corpse%20Bride%20(2005)/works,Corpse%20Bride%20(2005),92
Lawrence of Arabia (1962),https://archiveofourown.org/tags/Lawrence%20of%20Arabia%20(1962)/works,Lawrence%20of%20Arabia%20(1962),92
Prince of Persia - All Media Types,https://archiveofourown.org/tags/Prince%20of%20Persia%20-%20All%20Media%20Types/works,Prince%20of%20Persia%20-%20All%20Media%20Types,92
Scream (Movies),https://archiveofourown.org/tags/Scream%20(Movies)/works,Scream%20(Movies),92
Sleepy Hollow (1999),https://archiveofourown.org/tags/Sleepy%20Hollow%20(1999)/works,Sleepy%20Hollow%20(1999),92
Trouble in the Heights (2011),https://archiveofourown.org/tags/Trouble%20in%20the%20Heights%20(2011)/works,Trouble%20in%20the%20Heights%20(2011),92
Unrelated (2007),https://archiveofourown.org/tags/Unrelated%20(2007)/works,Unrelated%20(2007),92
Grease (1978),https://archiveofourown.org/tags/Grease%20(1978)/works,Grease%20(1978),91
Justice League: Gods and Monsters (2015),https://archiveofourown.org/tags/Justice%20League:%20Gods%20and%20Monsters%20(2015)/works,Justice%20League:%20Gods%20and%20Monsters%20(2015),91
Kill Your Darlings (2013),https://archiveofourown.org/tags/Kill%20Your%20Darlings%20(2013)/works,Kill%20Your%20Darlings%20(2013),91
Riddick (2013),https://archiveofourown.org/tags/Riddick%20(2013)/works,Riddick%20(2013),91
Spy (2015),https://archiveofourown.org/tags/Spy%20(2015)/works,Spy%20(2015),91
Cloud Atlas (2012),https://archiveofourown.org/tags/Cloud%20Atlas%20(2012)/works,Cloud%20Atlas%20(2012),90
Gattaca (1997),https://archiveofourown.org/tags/Gattaca%20(1997)/works,Gattaca%20(1997),89
Ladyhawke (1985),https://archiveofourown.org/tags/Ladyhawke%20(1985)/works,Ladyhawke%20(1985),88
Trainspotting (Movies),https://archiveofourown.org/tags/Trainspotting%20(Movies)/works,Trainspotting%20(Movies),88
1776 (1972),https://archiveofourown.org/tags/1776%20(1972)/works,1776%20(1972),87
Hitchhiker's Guide to the Galaxy (2005),https://archiveofourown.org/tags/Hitchhiker's%20Guide%20to%20the%20Galaxy%20(2005)/works,Hitchhiker's%20Guide%20to%20the%20Galaxy%20(2005),87
Nochnoy Dozor | Watch Series - All Media Types,https://archiveofourown.org/tags/Nochnoy%20Dozor%20%7C%20Watch%20Series%20-%20All%20Media%20Types/works,Nochnoy%20Dozor%20%7C%20Watch%20Series%20-%20All%20Media%20Types,87
Love Actually (2003),https://archiveofourown.org/tags/Love%20Actually%20(2003)/works,Love%20Actually%20(2003),86
Tremors - All Media Types,https://archiveofourown.org/tags/Tremors%20-%20All%20Media%20Types/works,Tremors%20-%20All%20Media%20Types,86
Victor Frankenstein (2015),https://archiveofourown.org/tags/Victor%20Frankenstein%20(2015)/works,Victor%20Frankenstein%20(2015),86
Dogma (1999),https://archiveofourown.org/tags/Dogma%20(1999)/works,Dogma%20(1999),85
Jesus Christ Superstar - All Media Types,https://archiveofourown.org/tags/Jesus%20Christ%20Superstar%20-%20All%20Media%20Types/works,Jesus%20Christ%20Superstar%20-%20All%20Media%20Types,85
Stargate (1994),https://archiveofourown.org/tags/Stargate%20(1994)/works,Stargate%20(1994),85
Tarzan (1999),https://archiveofourown.org/tags/Tarzan%20(1999)/works,Tarzan%20(1999),85
The Music Man (1962),https://archiveofourown.org/tags/The%20Music%20Man%20(1962)/works,The%20Music%20Man%20(1962),84
Brideshead Revisited - All Media Types,https://archiveofourown.org/tags/Brideshead%20Revisited%20-%20All%20Media%20Types/works,Brideshead%20Revisited%20-%20All%20Media%20Types,83
Interstellar (2014),https://archiveofourown.org/tags/Interstellar%20(2014)/works,Interstellar%20(2014),83
Stand By Me (1986),https://archiveofourown.org/tags/Stand%20By%20Me%20(1986)/works,Stand%20By%20Me%20(1986),83
The Three Musketeers (2011),https://archiveofourown.org/tags/The%20Three%20Musketeers%20(2011)/works,The%20Three%20Musketeers%20(2011),83
The Wizard Of Oz (1939),https://archiveofourown.org/tags/The%20Wizard%20Of%20Oz%20(1939)/works,The%20Wizard%20Of%20Oz%20(1939),83
Atomic Blonde (2017),https://archiveofourown.org/tags/Atomic%20Blonde%20(2017)/works,Atomic%20Blonde%20(2017),82
Hellraiser (Movies),https://archiveofourown.org/tags/Hellraiser%20(Movies)/works,Hellraiser%20(Movies),82
Jumper (2008),https://archiveofourown.org/tags/Jumper%20(2008)/works,Jumper%20(2008),82
Moulin Rouge! (2001),https://archiveofourown.org/tags/Moulin%20Rouge!%20(2001)/works,Moulin%20Rouge!%20(2001),82
The Purge (Movies),https://archiveofourown.org/tags/The%20Purge%20(Movies)/works,The%20Purge%20(Movies),82
Sorcerer's Apprentice (2010),https://archiveofourown.org/tags/Sorcerer's%20Apprentice%20(2010)/works,Sorcerer's%20Apprentice%20(2010),82
Abraham Lincoln: Vampire Hunter (2012),https://archiveofourown.org/tags/Abraham%20Lincoln:%20Vampire%20Hunter%20(2012)/works,Abraham%20Lincoln:%20Vampire%20Hunter%20(2012),81
The Adventures of Buckaroo Banzai Across The 8th Dimension (1984),https://archiveofourown.org/tags/The%20Adventures%20of%20Buckaroo%20Banzai%20Across%20The%208th%20Dimension%20(1984)/works,The%20Adventures%20of%20Buckaroo%20Banzai%20Across%20The%208th%20Dimension%20(1984),81
The Cabin in the Woods (2011),https://archiveofourown.org/tags/The%20Cabin%20in%20the%20Woods%20(2011)/works,The%20Cabin%20in%20the%20Woods%20(2011),81
Eragon (2006),https://archiveofourown.org/tags/Eragon%20(2006)/works,Eragon%20(2006),81
IT (1990),https://archiveofourown.org/tags/IT%20(1990)/works,IT%20(1990),81
Stardust (2007),https://archiveofourown.org/tags/Stardust%20(2007)/works,Stardust%20(2007),81
Enchanted (2007),https://archiveofourown.org/tags/Enchanted%20(2007)/works,Enchanted%20(2007),80
Ex Machina (2015),https://archiveofourown.org/tags/Ex%20Machina%20(2015)/works,Ex%20Machina%20(2015),80
Kubo and the Two Strings (2016),https://archiveofourown.org/tags/Kubo%20and%20the%20Two%20Strings%20(2016)/works,Kubo%20and%20the%20Two%20Strings%20(2016),80
Superman (Christopher Reeve Movies),https://archiveofourown.org/tags/Superman%20(Christopher%20Reeve%20Movies)/works,Superman%20(Christopher%20Reeve%20Movies),80
Top Gun (1986),https://archiveofourown.org/tags/Top%20Gun%20(1986)/works,Top%20Gun%20(1986),80
Withnail & I (1986),https://archiveofourown.org/tags/Withnail%20*a*%20I%20(1986)/works,Withnail%20*a*%20I%20(1986),80
Bee Movie (2007),https://archiveofourown.org/tags/Bee%20Movie%20(2007)/works,Bee%20Movie%20(2007),79
Edge of Tomorrow (2014),https://archiveofourown.org/tags/Edge%20of%20Tomorrow%20(2014)/works,Edge%20of%20Tomorrow%20(2014),79
Fury (2014),https://archiveofourown.org/tags/Fury%20(2014)/works,Fury%20(2014),79
Crows Zero (Movies),https://archiveofourown.org/tags/Crows%20Zero%20(Movies)/works,Crows%20Zero%20(Movies),78
Mean Girls (2004),https://archiveofourown.org/tags/Mean%20Girls%20(2004)/works,Mean%20Girls%20(2004),78
Sunshine (2007),https://archiveofourown.org/tags/Sunshine%20(2007)/works,Sunshine%20(2007),78
Bend It Like Beckham (2002),https://archiveofourown.org/tags/Bend%20It%20Like%20Beckham%20(2002)/works,Bend%20It%20Like%20Beckham%20(2002),77
Drake's Venture (1980),https://archiveofourown.org/tags/Drake's%20Venture%20(1980)/works,Drake's%20Venture%20(1980),77
Independence Day (Movies),https://archiveofourown.org/tags/Independence%20Day%20(Movies)/works,Independence%20Day%20(Movies),77
Lazer Team (2015),https://archiveofourown.org/tags/Lazer%20Team%20(2015)/works,Lazer%20Team%20(2015),77
The League of Extraordinary Gentlemen (2003),https://archiveofourown.org/tags/The%20League%20of%20Extraordinary%20Gentlemen%20(2003)/works,The%20League%20of%20Extraordinary%20Gentlemen%20(2003),77
American Girl Dolls - All Media Types,https://archiveofourown.org/tags/American%20Girl%20Dolls%20-%20All%20Media%20Types/works,American%20Girl%20Dolls%20-%20All%20Media%20Types,76
Beetlejuice (1988),https://archiveofourown.org/tags/Beetlejuice%20(1988)/works,Beetlejuice%20(1988),75
Mamma Mia! (2008),https://archiveofourown.org/tags/Mamma%20Mia!%20(2008)/works,Mamma%20Mia!%20(2008),75
The Prince of Egypt (1998),https://archiveofourown.org/tags/The%20Prince%20of%20Egypt%20(1998)/works,The%20Prince%20of%20Egypt%20(1998),75
Swan Lake & Related Fandoms,https://archiveofourown.org/tags/Swan%20Lake%20*a*%20Related%20Fandoms/works,Swan%20Lake%20*a*%20Related%20Fandoms,75
101 Dalmatians - All Media Types,https://archiveofourown.org/tags/101%20Dalmatians%20-%20All%20Media%20Types/works,101%20Dalmatians%20-%20All%20Media%20Types,74
Hotel Transylvania (Movies),https://archiveofourown.org/tags/Hotel%20Transylvania%20(Movies)/works,Hotel%20Transylvania%20(Movies),74
Red Canyon (2008),https://archiveofourown.org/tags/Red%20Canyon%20(2008)/works,Red%20Canyon%20(2008),74
The King's Speech (2010),https://archiveofourown.org/tags/The%20King's%20Speech%20(2010)/works,The%20King's%20Speech%20(2010),73
My Bloody Valentine (2009),https://archiveofourown.org/tags/My%20Bloody%20Valentine%20(2009)/works,My%20Bloody%20Valentine%20(2009),73
Hairspray (2007),https://archiveofourown.org/tags/Hairspray%20(2007)/works,Hairspray%20(2007),72
The Imitation Game (2014),https://archiveofourown.org/tags/The%20Imitation%20Game%20(2014)/works,The%20Imitation%20Game%20(2014),72
The Town (2010),https://archiveofourown.org/tags/The%20Town%20(2010)/works,The%20Town%20(2010),72
Black Swan (2010),https://archiveofourown.org/tags/Black%20Swan%20(2010)/works,Black%20Swan%20(2010),71
Legend (2015),https://archiveofourown.org/tags/Legend%20(2015)/works,Legend%20(2015),71
Jagten | The Hunt (2012),https://archiveofourown.org/tags/Jagten%20%7C%20The%20Hunt%20(2012)/works,Jagten%20%7C%20The%20Hunt%20(2012),70
Proof of Life (2000),https://archiveofourown.org/tags/Proof%20of%20Life%20(2000)/works,Proof%20of%20Life%20(2000),70
Rise of the Planet of the Apes (Movies),https://archiveofourown.org/tags/Rise%20of%20the%20Planet%20of%20the%20Apes%20(Movies)/works,Rise%20of%20the%20Planet%20of%20the%20Apes%20(Movies),70
Daredevil (2003),https://archiveofourown.org/tags/Daredevil%20(2003)/works,Daredevil%20(2003),69
Emperor's New Groove (2000),https://archiveofourown.org/tags/Emperor's%20New%20Groove%20(2000)/works,Emperor's%20New%20Groove%20(2000),69
Galaxy Quest (1999),https://archiveofourown.org/tags/Galaxy%20Quest%20(1999)/works,Galaxy%20Quest%20(1999),69
Magic Mike (Movies),https://archiveofourown.org/tags/Magic%20Mike%20(Movies)/works,Magic%20Mike%20(Movies),69
Millennium Trilogy - All Media Types,https://archiveofourown.org/tags/Millennium%20Trilogy%20-%20All%20Media%20Types/works,Millennium%20Trilogy%20-%20All%20Media%20Types,69
Tombstone (1993),https://archiveofourown.org/tags/Tombstone%20(1993)/works,Tombstone%20(1993),69
D.E.B.S. (2004),https://archiveofourown.org/tags/D*d*E*d*B*d*S*d*%20(2004)/works,D*d*E*d*B*d*S*d*%20(2004),68
Legion (2010),https://archiveofourown.org/tags/Legion%20(2010)/works,Legion%20(2010),68
The Perks of Being a Wallflower - All Media Types,https://archiveofourown.org/tags/The%20Perks%20of%20Being%20a%20Wallflower%20-%20All%20Media%20Types/works,The%20Perks%20of%20Being%20a%20Wallflower%20-%20All%20Media%20Types,68
Stonehenge Apocalypse (2010),https://archiveofourown.org/tags/Stonehenge%20Apocalypse%20(2010)/works,Stonehenge%20Apocalypse%20(2010),68
Wild Target (2010),https://archiveofourown.org/tags/Wild%20Target%20(2010)/works,Wild%20Target%20(2010),68
10 Things I Hate About You (1999),https://archiveofourown.org/tags/10%20Things%20I%20Hate%20About%20You%20(1999)/works,10%20Things%20I%20Hate%20About%20You%20(1999),67
Carrie - All Media Types,https://archiveofourown.org/tags/Carrie%20-%20All%20Media%20Types/works,Carrie%20-%20All%20Media%20Types,67
Clue | Cluedo - All Media Types,https://archiveofourown.org/tags/Clue%20%7C%20Cluedo%20-%20All%20Media%20Types/works,Clue%20%7C%20Cluedo%20-%20All%20Media%20Types,67
The Crow - All Media Types,https://archiveofourown.org/tags/The%20Crow%20-%20All%20Media%20Types/works,The%20Crow%20-%20All%20Media%20Types,67
Dracula Untold (2014),https://archiveofourown.org/tags/Dracula%20Untold%20(2014)/works,Dracula%20Untold%20(2014),67
Hitman: Agent 47 (2015),https://archiveofourown.org/tags/Hitman:%20Agent%2047%20(2015)/works,Hitman:%20Agent%2047%20(2015),67
Little Shop of Horrors - All Media Types,https://archiveofourown.org/tags/Little%20Shop%20of%20Horrors%20-%20All%20Media%20Types/works,Little%20Shop%20of%20Horrors%20-%20All%20Media%20Types,67
Moonlight (2016),https://archiveofourown.org/tags/Moonlight%20(2016)/works,Moonlight%20(2016),66
Prince of Persia: The Sands of Time - All Media Types,https://archiveofourown.org/tags/Prince%20of%20Persia:%20The%20Sands%20of%20Time%20-%20All%20Media%20Types/works,Prince%20of%20Persia:%20The%20Sands%20of%20Time%20-%20All%20Media%20Types,66
Ravenous (1999),https://archiveofourown.org/tags/Ravenous%20(1999)/works,Ravenous%20(1999),66
Stoker (2013),https://archiveofourown.org/tags/Stoker%20(2013)/works,Stoker%20(2013),66
Gladiator (2000),https://archiveofourown.org/tags/Gladiator%20(2000)/works,Gladiator%20(2000),65
A.I. Artificial Intelligence (2001),https://archiveofourown.org/tags/A*d*I*d*%20Artificial%20Intelligence%20(2001)/works,A*d*I*d*%20Artificial%20Intelligence%20(2001),64
The Godfather (1972 1974 1990),https://archiveofourown.org/tags/The%20Godfather%20(1972%201974%201990)/works,The%20Godfather%20(1972%201974%201990),64
The Hurt Locker (2008),https://archiveofourown.org/tags/The%20Hurt%20Locker%20(2008)/works,The%20Hurt%20Locker%20(2008),64
This Means War (2012),https://archiveofourown.org/tags/This%20Means%20War%20(2012)/works,This%20Means%20War%20(2012),64
xXx (Movies),https://archiveofourown.org/tags/xXx%20(Movies)/works,xXx%20(Movies),64
The Bourne Supremacy (2004),https://archiveofourown.org/tags/The%20Bourne%20Supremacy%20(2004)/works,The%20Bourne%20Supremacy%20(2004),63
The Hobbit (1977),https://archiveofourown.org/tags/The%20Hobbit%20(1977)/works,The%20Hobbit%20(1977),63
Planes (Movies),https://archiveofourown.org/tags/Planes%20(Movies)/works,Planes%20(Movies),63
Scott Pilgrim vs. the World (2010),https://archiveofourown.org/tags/Scott%20Pilgrim%20vs*d*%20the%20World%20(2010)/works,Scott%20Pilgrim%20vs*d*%20the%20World%20(2010),63
